编号,状态,问政问题,响应时间,问政时间,链接
308666,已受理,开转诊单排三四个小时队,等待回复：26天23小时35分,2021-11-02 21:01:22,/political/politics/index?id=529692
308800,待处理,工地通宵施工，噪声严重扰民,等待处理：27天13小时8分,2021-11-04 09:22:47,/political/politics/index?id=529855
308718,待处理,长安万达广场Vclub酒吧半夜扰民,等待处理：26天13小时8分,2021-11-03 15:29:27,/political/politics/index?id=529778
308627,待处理,东莞市塘厦镇大坪多处违章建筑，超高超宽建筑,等待处理：25天13小时8分,2021-11-02 16:41:36,/political/politics/index?id=529668
308765,待处理,公司严重违反劳动法不给员工购买社保福利,等待处理：27天13小时8分,2021-11-03 21:32:23,/political/politics/index?id=529824
308605,待处理,校车扰民,等待处理：25天13小时8分,2021-11-02 14:07:36,/political/politics/index?id=529636
308750,待处理,关于莞城中英文小学旁东城路段违章停车的管控,等待处理：26天13小时8分,2021-11-03 17:14:26,/political/politics/index?id=529801
308729,待处理,井盖躁音扰民,等待处理：26天13小时8分,2021-11-03 13:47:38,/political/politics/index?id=529761
308695,待处理,犀牛陂新理想幼儿园噪音严重扰民,等待处理：26天13小时8分,2021-11-03 09:48:01,/political/politics/index?id=529734
308659,已受理,清溪华桂园,等待回复：26天23小时42分,2021-11-03 07:58:27,/political/politics/index?id=529711
308645,已受理,生活用水污浊！严重影响生活！,等待回复：26天23小时23分,2021-11-02 20:19:07,/political/politics/index?id=529688
308789,已受理,关于南城新基社区广东省金盾服装厂排放废气的投诉,等待回复：27天23小时11分,2021-11-04 09:19:37,/political/politics/index?id=529854
308714,已受理,一位难求！商铺私自霸占公共车位,等待回复：27天22小时23分,2021-11-03 15:24:42,/political/politics/index?id=529777
308630,待处理,投诉南城英之辅外语培训中心被要求退学费时则采取“霸王条款”、故意拖延，故意刁难，态度傲慢，敷衍了事,等待处理：25天13小时8分,2021-11-02 16:32:42,/political/politics/index?id=529665
308756,已受理,麻涌东江大桥堵塞和桥抖严重,等待回复：27天23小时2分,2021-11-03 21:18:12,/political/politics/index?id=529823
308607,已受理,蔡白湿地公园,等待回复：26天22小时58分,2021-11-02 13:34:12,/political/politics/index?id=529634
308751,已受理,城市管理行政执法局对寮步香居明苑违建不处理,等待回复：27天22小时28分,2021-11-03 17:12:43,/political/politics/index?id=529800
308730,已受理,官桥滘塘城三路施工时段不合理,等待回复：27天22小时25分,2021-11-03 13:40:17,/political/politics/index?id=529760
308688,待处理,波利亚外国语学校噪音扰民,等待处理：26天13小时8分,2021-11-03 09:47:43,/political/politics/index?id=529733
308660,待处理,寮步镇教育路碧桂园公交站台乱停车,等待处理：26天13小时8分,2021-11-03 07:02:50,/political/politics/index?id=529710
308647,待处理,请问东莞移动是否有计划开通eSIM业务？,等待处理：26天13小时8分,2021-11-02 20:11:46,/political/politics/index?id=529686
308788,已受理,常平还珠沥汇景豪园旁边沙场每天日夜施工无,等待回复：27天23小时8分,2021-11-04 09:18:01,/political/politics/index?id=529853
308715,已受理,农民安居房报建 4米消防通道,等待回复：27天6小时13分,2021-11-03 15:24:06,/political/politics/index?id=529776
308625,已受理,投诉黄江镇社区卫生服务中心,等待回复：26天6小时55分,2021-11-02 16:21:04,/political/politics/index?id=529664
308755,已受理,常平东元路164号GEM酒吧排气抽风设备扰民,等待回复：27天22小时42分,2021-11-03 21:15:10,/political/politics/index?id=529822
308610,已受理,支持高一周五放学！,等待回复：26天23小时12分,2021-11-02 13:06:37,/political/politics/index?id=529629
308754,待处理,莞番高速（广龙）大岭山镇连平连马路段高架施工无任何防护措施！,等待处理：26天13小时8分,2021-11-03 17:10:44,/political/politics/index?id=529799
308732,待处理,开医保转诊单南,等待处理：26天13小时8分,2021-11-03 12:37:06,/political/politics/index?id=529758
308684,已受理,红荔侨苑改动道路及绿化规划,等待回复：27天0小时30分,2021-11-03 09:43:10,/political/politics/index?id=529732
308658,已受理,公交站点（校车上下车点）垃圾桶乱摆放,等待回复：27天0小时22分,2021-11-03 06:55:06,/political/politics/index?id=529709
308664,已受理,美诺健康体检不能退费,等待回复：27天1小时24分,2021-11-03 01:55:15,/political/politics/index?id=529707
308648,已受理,占用森林保护区山林地，常燃放鞭炮扰民,等待回复：27天0小时42分,2021-11-02 20:01:32,/political/politics/index?id=529685
308801,待处理,东城街道火炼树地摊火锅店凌晨1-3点还大吵大闹,等待处理：27天13小时8分,2021-11-04 09:17:04,/political/politics/index?id=529852
308712,待处理,路灯,等待处理：26天13小时8分,2021-11-03 15:16:44,/political/politics/index?id=529774
308626,已受理,投诉黄江镇社区卫生服务中心,等待回复：26天6小时55分,2021-11-02 16:18:13,/political/politics/index?id=529663
308762,已受理,望牛墩恒大翡翠3期，何时能正常复工？预售资金监管账户是否还有钱？,等待回复：27天23小时39分,2021-11-03 21:10:11,/political/politics/index?id=529820
308602,已受理,卖房，渤海银行迟迟不放款，拿不到钱，现在连小孩奶粉都买不起,等待回复：26天22小时48分,2021-11-02 13:02:56,/political/politics/index?id=529627
308746,已受理,麻涌恒大滨江左岸房屋质量严重质疑,等待回复：27天7小时16分,2021-11-03 17:04:50,/political/politics/index?id=529798
308734,待处理,居民区大排档通宵营业严重扰民,等待处理：26天13小时8分,2021-11-03 12:35:08,/political/politics/index?id=529757
308678,待处理,车辆违停严重。,等待处理：26天13小时8分,2021-11-03 09:27:22,/political/politics/index?id=529730
308657,待处理,关于建设银行客户服务不规范，涉及诱导消费者消费以及虚假宣传,等待处理：26天13小时8分,2021-11-03 00:59:10,/political/politics/index?id=529706
308649,待处理,马路井盖响,等待处理：26天13小时8分,2021-11-02 19:49:22,/political/politics/index?id=529684
308650,待处理,南开学校附近施工噪音太大，影响学生学习。,等待处理：26天13小时8分,2021-11-02 19:42:23,/political/politics/index?id=529683
308804,待处理,关于南城胜和鸭仔塘变相围村收费问题,等待处理：27天13小时8分,2021-11-04 09:15:15,/political/politics/index?id=529848
308787,待处理,阳台养鸡导致脏乱差，老鼠爬楼！,等待处理：27天13小时8分,2021-11-04 08:13:38,/political/politics/index?id=529843
308713,已受理,东莞市大岭山翰华学校乱收班费购买班服资料打扫卫生用品,等待回复：27天5小时36分,2021-11-03 15:16:31,/political/politics/index?id=529773
308716,待处理,马路大树安全,等待处理：26天13小时8分,2021-11-03 15:14:54,/political/politics/index?id=529772
308631,待处理,寮步广场红绿灯经常堵车,等待处理：25天13小时8分,2021-11-02 16:18:03,/political/politics/index?id=529662
308759,待处理,泥土车罚款,等待处理：27天13小时8分,2021-11-03 20:15:46,/political/politics/index?id=529818
308597,待处理,望牛墩镇下漕管理区官派村一直都不让建房！,等待处理：25天13小时8分,2021-11-02 12:33:09,/political/politics/index?id=529624
308749,待处理,关于东莞市级光伏发电补贴,等待处理：26天13小时8分,2021-11-03 16:48:38,/political/politics/index?id=529794
308735,待处理,东莞一中南门距离不足100米万科生活噪音,等待处理：26天13小时8分,2021-11-03 12:22:37,/political/politics/index?id=529756
308679,待处理,稻花村物业一刀切不解决停车难问题，要求将元美东路停车改为非重点路段,等待处理：26天13小时8分,2021-11-03 09:25:12,/political/politics/index?id=529729
308670,已受理,东莞国药集团欺诈客户,等待回复：27天1小时28分,2021-11-03 00:32:27,/political/politics/index?id=529704
308651,待处理,泥头车罚款扣分,等待处理：26天13小时8分,2021-11-02 19:35:48,/political/politics/index?id=529682
308785,待处理,失业补助金申请之后什么时候发放,等待处理：27天13小时8分,2021-11-04 07:04:44,/political/politics/index?id=529842
308717,已受理,塘厦镇关于强制要求家长到校门口执勤,等待回复：27天4小时52分,2021-11-03 15:10:13,/political/politics/index?id=529771
308622,已受理,要求家长购买教科书,等待回复：26天6小时9分,2021-11-02 16:01:01,/political/politics/index?id=529658
308761,待处理,广东创新科技职业技术学院形式主义封校,等待处理：27天13小时8分,2021-11-03 19:43:24,/political/politics/index?id=529816
308599,已受理,常平桔园街路面下陷,等待回复：26天5小时32分,2021-11-02 12:25:39,/political/politics/index?id=529622
308737,待处理,消费诈骗,等待处理：26天13小时8分,2021-11-03 16:30:31,/political/politics/index?id=529792
308706,待处理,地址门牌上没有二维码如何申请？,等待处理：26天13小时8分,2021-11-03 11:50:02,/political/politics/index?id=529752
308681,待处理,东城新世界花园政府推导垃圾分类半途而废,等待处理：26天13小时8分,2021-11-03 09:21:53,/political/politics/index?id=529728
308636,已受理,谢岗镇荣兴街20号荣记美食大排档噪音扰民,等待回复：26天22小时17分,2021-11-03 00:24:08,/political/politics/index?id=529703
308652,已受理,办理的银行pos机无法退回,等待回复：26天22小时48分,2021-11-02 19:19:05,/political/politics/index?id=529681
308784,待处理,金地前海山地下车库增加出入口问题,等待处理：27天13小时8分,2021-11-04 06:19:55,/political/politics/index?id=529841
308722,已受理,电脑毛织机为何这么嘈,等待回复：27天4小时59分,2021-11-03 14:51:03,/political/politics/index?id=529768
308623,待处理,东莞转诊制度真的方便吗,等待处理：25天13小时8分,2021-11-02 15:59:22,/political/politics/index?id=529657
308763,待处理,东莞大道立交桥西侧荒地规划,等待处理：27天13小时8分,2021-11-03 19:33:34,/political/politics/index?id=529815
308595,已受理,洪梅镇政府不顾村民建房成本高，要求效果图,等待回复：26天5小时45分,2021-11-02 11:47:42,/political/politics/index?id=529618
308736,已受理,万江加州花园 水管严重腐蚀 居民饮水担忧,等待回复：27天5小时42分,2021-11-03 16:23:26,/political/politics/index?id=529791
308707,待处理,补缴社保和公积金,等待处理：26天13小时8分,2021-11-03 11:48:12,/political/politics/index?id=529751
308682,已受理,寮步汽车城没有路灯,等待回复：27天0小时33分,2021-11-03 09:18:26,/political/politics/index?id=529727
308638,待处理,众盛物业撤出不交接，财务不公示，侵占业主利益,等待处理：26天13小时8分,2021-11-02 18:33:37,/political/politics/index?id=529678
308783,待处理,大岭山金地林森艺境,等待处理：27天13小时8分,2021-11-04 03:27:41,/political/politics/index?id=529840
308624,待处理,海逸豪庭大肆违建为何不处置、不拆除,等待处理：25天13小时8分,2021-11-02 15:53:36,/political/politics/index?id=529655
308767,待处理,对于《中华人民共和国土地管理法实施条例》中部分条例理解不清，请具体结实,等待处理：27天13小时8分,2021-11-03 18:34:27,/political/politics/index?id=529812
308586,待处理,噪音扰民,等待处理：25天13小时8分,2021-11-02 11:44:19,/political/politics/index?id=529616
308738,已受理,请住建局公布厚街万科臻山悦花园楼盘预售备案价过程资料，以供广大市民群众监督。,等待回复：27天7小时7分,2021-11-03 16:09:53,/political/politics/index?id=529790
308700,已受理,石龙中山路车位被商铺占用,等待回复：27天6小时9分,2021-11-03 11:34:31,/political/politics/index?id=529750
308683,待处理,私人长期霸占村内公共停车位,等待处理：26天13小时8分,2021-11-03 09:16:16,/political/politics/index?id=529726
308640,已受理,东莞华侨城纯水岸小区花园差,等待回复：26天22小时25分,2021-11-02 18:23:41,/political/politics/index?id=529677
308613,待处理,南城车站路片区城市更新,等待处理：25天13小时8分,2021-11-02 15:25:00,/political/politics/index?id=529649
308584,待处理,房屋外的水管阀门坏了，是水表前的阀门，由谁来负责,等待处理：25天13小时8分,2021-11-02 11:37:14,/political/politics/index?id=529615
308739,待处理,关于一孩生育问题咨询电话没人接听的投诉,等待处理：26天13小时8分,2021-11-03 16:04:21,/political/politics/index?id=529789
308698,待处理,异地门诊转诊,等待处理：26天13小时8分,2021-11-03 11:18:06,/political/politics/index?id=529748
308685,待处理,沙田公交213，221线路问题,等待处理：26天13小时8分,2021-11-03 09:15:23,/political/politics/index?id=529725
308653,待处理,关于公常公路X232与莞深高速交汇节点改造工程进展问题,等待处理：26天13小时8分,2021-11-02 18:14:55,/political/politics/index?id=529676
308600,已受理,茶山纳帕溪谷湘阁里辣烟雾恶臭严重影响生活,等待回复：26天4小时47分,2021-11-02 15:07:35,/political/politics/index?id=529645
308585,待处理,东莞理工学校  食堂定价不合理！,等待处理：25天13小时8分,2021-11-02 11:21:22,/political/politics/index?id=529614
308588,已受理,工作效率极低,等待回复：26天5小时17分,2021-11-02 11:15:09,/political/politics/index?id=529612
308699,已受理,万江胜利社区围村停车收费不合理,等待回复：27天0小时59分,2021-11-03 11:08:19,/political/politics/index?id=529747
308617,已受理,桥头镇桥龙路温馨家园鸿华尚城4栋.5栋管理处滥收居民电费,等待回复：26天5小时33分,2021-11-02 15:02:05,/political/politics/index?id=529643
