编号,状态,问政问题,响应时间,问政时间,链接
308805,已受理,民办幼儿园申领补贴,等待回复：27天22小时31分,2021-11-04 10:47:31,https://wz.sun0769.com/political/politics/index?id=529874
308816,已受理,新世紀星新天價收費,等待回复：27天22小时30分,2021-11-03 23:19:28,https://wz.sun0769.com/political/politics/index?id=529831
308666,已受理,开转诊单排三四个小时队,等待回复：26天18小时16分,2021-11-02 21:01:22,https://wz.sun0769.com/political/politics/index?id=529692
308627,待处理,东莞市塘厦镇大坪多处违章建筑，超高超宽建筑,等待处理：25天7小时48分,2021-11-02 16:41:36,https://wz.sun0769.com/political/politics/index?id=529668
308694,已受理,横沥镇神山桥附近路段整条马路碎石粒阻挡非机动车通行，一不小心打滑就会翻车,等待回复：26天22小时37分,2021-11-03 09:50:57,https://wz.sun0769.com/political/politics/index?id=529735
308788,已受理,常平还珠沥汇景豪园旁边沙场每天日夜施工无,等待回复：27天17小时48分,2021-11-04 09:18:01,https://wz.sun0769.com/political/politics/index?id=529853
308669,已受理,管理不到位 懒政不作为,等待回复：26天22小时39分,2021-11-03 08:23:27,https://wz.sun0769.com/political/politics/index?id=529716
308849,待处理,塘厦镇第一幼儿园上学上到家长陪上吗？,等待处理：27天7小时48分,2021-11-04 14:19:08,https://wz.sun0769.com/political/politics/index?id=529910
308844,待处理,关于大朗镇长盛二街停车线乱抄牌事宜,等待处理：27天7小时49分,2021-11-04 12:58:39,https://wz.sun0769.com/political/politics/index?id=529893
308826,已受理,关于清溪中学上午到校时间的建议,等待回复：27天23小时24分,2021-11-04 12:30:28,https://wz.sun0769.com/political/politics/index?id=529889
308806,已受理,家住东莞市横沥镇雍景花园是否不配到楼下散步,等待回复：27天19小时11分,2021-11-04 10:44:14,https://wz.sun0769.com/political/politics/index?id=529873
308757,已受理,常平文化广场管理不作为,等待回复：27天17小时21分,2021-11-03 22:12:56,https://wz.sun0769.com/political/politics/index?id=529828
308645,已受理,生活用水污浊！严重影响生活！,等待回复：26天18小时4分,2021-11-02 20:19:07,https://wz.sun0769.com/political/politics/index?id=529688
308647,待处理,请问东莞移动是否有计划开通eSIM业务？,等待处理：26天7小时48分,2021-11-02 20:11:46,https://wz.sun0769.com/political/politics/index?id=529686
308605,待处理,校车扰民,等待处理：25天7小时48分,2021-11-02 14:07:36,https://wz.sun0769.com/political/politics/index?id=529636
308630,待处理,投诉南城英之辅外语培训中心被要求退学费时则采取“霸王条款”、故意拖延，故意刁难，态度傲慢，敷衍了事,等待处理：25天7小时48分,2021-11-02 16:32:42,https://wz.sun0769.com/political/politics/index?id=529665
308774,已受理,请问位于松山湖光大W谷的瑞思英语培训机构的性质,等待回复：27天17小时17分,2021-11-03 17:58:36,https://wz.sun0769.com/political/politics/index?id=529806
308583,已回复,村道停车收费,处理用时：1天2小时2分,2021-11-02 10:31:51,https://wz.sun0769.com/political/politics/index?id=529602
308695,待处理,犀牛陂新理想幼儿园噪音严重扰民,等待处理：26天7小时49分,2021-11-03 09:48:01,https://wz.sun0769.com/political/politics/index?id=529734
308801,待处理,东城街道火炼树地摊火锅店凌晨1-3点还大吵大闹,等待处理：27天7小时48分,2021-11-04 09:17:04,https://wz.sun0769.com/political/politics/index?id=529852
308804,待处理,关于南城胜和鸭仔塘变相围村收费问题,等待处理：27天7小时48分,2021-11-04 09:15:15,https://wz.sun0769.com/political/politics/index?id=529848
308814,待处理,关于水印长堤小区外围沿河堤坝不让通行问题,等待处理：27天7小时48分,2021-11-04 08:52:29,https://wz.sun0769.com/political/politics/index?id=529846
308639,已受理,森林湖兰溪谷14-1-1303长期投毒,等待回复：26天16小时54分,2021-11-03 08:15:22,https://wz.sun0769.com/political/politics/index?id=529715
308665,已受理,收费就不贴标，不收费就贴标！！！,等待回复：26天19小时33分,2021-11-03 08:10:29,https://wz.sun0769.com/political/politics/index?id=529714
308850,待处理,关于东城实验小学德育管理的几个不当之处,等待处理：27天7小时48分,2021-11-04 14:14:21,https://wz.sun0769.com/political/politics/index?id=529909
308830,待处理,流动摊贩乱停摆卖，商铺放雪糕桶占位,等待处理：27天7小时49分,2021-11-04 12:08:05,https://wz.sun0769.com/political/politics/index?id=529885
308807,已受理,关于虎门学易优违反双减周末上课的问题,等待回复：27天21小时25分,2021-11-04 10:38:38,https://wz.sun0769.com/political/politics/index?id=529872
308819,已受理,虎门太沙路君乐汇人行道电动车占道行驶,等待回复：27天21小时22分,2021-11-03 22:12:54,https://wz.sun0769.com/political/politics/index?id=529827
308725,已受理,防止东莞房地产大落,等待回复：27天0小时47分,2021-11-03 15:39:40,https://wz.sun0769.com/political/politics/index?id=529782
308726,已受理,请东莞市交通运输局解疑,等待回复：27天0小时14分,2021-11-03 15:39:03,https://wz.sun0769.com/political/politics/index?id=529781
308579,已受理,三中村本地村民霸占车位(第五次投诉),等待回复：25天23小时52分,2021-11-02 08:39:37,https://wz.sun0769.com/political/politics/index?id=529581
308551,待处理,公交站台前乱停乱放,等待处理：25天7小时48分,2021-11-02 07:34:07,https://wz.sun0769.com/political/politics/index?id=529579
308648,已受理,占用森林保护区山林地，常燃放鞭炮扰民,等待回复：26天19小时23分,2021-11-02 20:01:32,https://wz.sun0769.com/political/politics/index?id=529685
308607,已受理,蔡白湿地公园,等待回复：26天17小时38分,2021-11-02 13:34:12,https://wz.sun0769.com/political/politics/index?id=529634
308625,已受理,投诉黄江镇社区卫生服务中心,等待回复：26天1小时35分,2021-11-02 16:21:04,https://wz.sun0769.com/political/politics/index?id=529664
308775,待处理,“围村收费”的最新情况,等待处理：27天7小时48分,2021-11-03 17:37:18,https://wz.sun0769.com/political/politics/index?id=529804
308750,待处理,关于莞城中英文小学旁东城路段违章停车的管控,等待处理：26天7小时48分,2021-11-03 17:14:26,https://wz.sun0769.com/political/politics/index?id=529801
308571,已受理,工厂噪音扰民,等待回复：25天22小时48分,2021-11-02 10:12:54,https://wz.sun0769.com/political/politics/index?id=529599
308688,待处理,波利亚外国语学校噪音扰民,等待处理：26天7小时49分,2021-11-03 09:47:43,https://wz.sun0769.com/political/politics/index?id=529733
308815,待处理,万江坝新路爱迪花园路口严重拥堵绿灯仅10秒，严重不合理！,等待处理：27天7小时48分,2021-11-04 08:39:09,https://wz.sun0769.com/political/politics/index?id=529844
308663,已受理,东莞通账户冻结如何解冻？,等待回复：26天21小时54分,2021-11-03 08:10:06,https://wz.sun0769.com/political/politics/index?id=529713
308851,已受理,社保退费问题,等待回复：27天23小时41分,2021-11-04 14:11:38,https://wz.sun0769.com/political/politics/index?id=529908
308831,已受理,关于横沥镇屠宰肉联厂以及公厕臭味难以呼吸严重影响生活，请重视！,等待回复：27天22小时36分,2021-11-04 12:02:43,https://wz.sun0769.com/political/politics/index?id=529883
308808,已受理,关于租住市属人才住房补贴,等待回复：27天22小时31分,2021-11-04 10:37:38,https://wz.sun0769.com/political/politics/index?id=529871
308768,待处理,标都没投，就敢开始施工，在法庭上还嚣张的让举报,等待处理：27天7小时48分,2021-11-03 21:54:10,https://wz.sun0769.com/political/politics/index?id=529826
308719,待处理,汽修厂长期占用行人道，严重影响群众出行,等待处理：27天7小时48分,2021-11-03 15:31:22,https://wz.sun0769.com/political/politics/index?id=529779
308549,已受理,无街灯还是坏左,等待回复：25天23小时44分,2021-11-02 03:01:39,https://wz.sun0769.com/political/politics/index?id=529576
308728,待处理,东江大道河岸卫生,等待处理：26天7小时47分,2021-11-03 14:13:21,https://wz.sun0769.com/political/politics/index?id=529762
308649,待处理,马路井盖响,等待处理：26天7小时48分,2021-11-02 19:49:22,https://wz.sun0769.com/political/politics/index?id=529684
308529,已受理,循环播放高分贝噪声扰民,等待回复：27天22小时19分,2021-11-01 22:00:33,https://wz.sun0769.com/political/politics/index?id=529558
308530,已回复,塘厦莲湖雅苑开发商与物业不作为不装监控,处理用时：1天1小时24分,2021-11-01 21:39:56,https://wz.sun0769.com/political/politics/index?id=529557
308610,已受理,支持高一周五放学！,等待回复：26天17小时52分,2021-11-02 13:06:37,https://wz.sun0769.com/political/politics/index?id=529629
308626,已受理,投诉黄江镇社区卫生服务中心,等待回复：26天1小时35分,2021-11-02 16:18:13,https://wz.sun0769.com/political/politics/index?id=529663
308631,待处理,寮步广场红绿灯经常堵车,等待处理：25天7小时48分,2021-11-02 16:18:03,https://wz.sun0769.com/political/politics/index?id=529662
308751,已受理,城市管理行政执法局对寮步香居明苑违建不处理,等待回复：27天17小时8分,2021-11-03 17:12:43,https://wz.sun0769.com/political/politics/index?id=529800
308754,待处理,莞番高速（广龙）大岭山镇连平连马路段高架施工无任何防护措施！,等待处理：26天7小时48分,2021-11-03 17:10:44,https://wz.sun0769.com/political/politics/index?id=529799
308572,待处理,圃锦南路违停范围,等待处理：25天7小时48分,2021-11-02 09:56:24,https://wz.sun0769.com/political/politics/index?id=529598
308573,待处理,职业技能培训补贴申领（个人）,等待处理：25天7小时48分,2021-11-02 09:49:37,https://wz.sun0769.com/political/politics/index?id=529597
308684,已受理,红荔侨苑改动道路及绿化规划,等待回复：26天19小时10分,2021-11-03 09:43:10,https://wz.sun0769.com/political/politics/index?id=529732
308787,待处理,阳台养鸡导致脏乱差，老鼠爬楼！,等待处理：27天7小时48分,2021-11-04 08:13:38,https://wz.sun0769.com/political/politics/index?id=529843
308785,已受理,失业补助金申请之后什么时候发放,等待回复：27天23小时28分,2021-11-04 07:04:44,https://wz.sun0769.com/political/politics/index?id=529842
308784,待处理,金地前海山地下车库增加出入口问题,等待处理：27天7小时48分,2021-11-04 06:19:55,https://wz.sun0769.com/political/politics/index?id=529841
308659,已受理,清溪华桂园,等待回复：26天18小时21分,2021-11-03 07:58:27,https://wz.sun0769.com/political/politics/index?id=529711
308660,待处理,寮步镇教育路碧桂园公交站台乱停车,等待处理：26天7小时48分,2021-11-03 07:02:50,https://wz.sun0769.com/political/politics/index?id=529710
308852,待处理,为何没有收到补地价款？,等待处理：27天7小时48分,2021-11-04 14:08:04,https://wz.sun0769.com/political/politics/index?id=529907
308832,已受理,深圳10号东延凤岗段上报建设进程,等待回复：27天22小时36分,2021-11-04 12:00:16,https://wz.sun0769.com/political/politics/index?id=529882
308809,待处理,签名盖章跑几趟，真当不用工作坐着等吗？,等待处理：27天7小时48分,2021-11-04 10:34:53,https://wz.sun0769.com/political/politics/index?id=529870
308769,待处理,平衡车是否可以带上公交车？,等待处理：27天7小时48分,2021-11-03 21:38:54,https://wz.sun0769.com/political/politics/index?id=529825
308765,已受理,公司严重违反劳动法不给员工购买社保福利,等待回复：27天23小时22分,2021-11-03 21:32:23,https://wz.sun0769.com/political/politics/index?id=529824
308718,已受理,长安万达广场Vclub酒吧半夜扰民,等待回复：27天23小时37分,2021-11-03 15:29:27,https://wz.sun0769.com/political/politics/index?id=529778
308714,已受理,一位难求！商铺私自霸占公共车位,等待回复：27天17小时2分,2021-11-03 15:24:42,https://wz.sun0769.com/political/politics/index?id=529777
308508,待处理,关于南城树童阳光校区停办家长退费问题,等待处理：24天7小时47分,2021-11-01 17:26:26,https://wz.sun0769.com/political/politics/index?id=529531
308539,已受理,东城体育公园,等待回复：27天22小时29分,2021-11-02 01:07:25,https://wz.sun0769.com/political/politics/index?id=529575
308729,待处理,井盖躁音扰民,等待处理：26天7小时47分,2021-11-03 13:47:38,https://wz.sun0769.com/political/politics/index?id=529761
308730,已受理,官桥滘塘城三路施工时段不合理,等待回复：27天17小时5分,2021-11-03 13:40:17,https://wz.sun0769.com/political/politics/index?id=529760
308650,待处理,南开学校附近施工噪音太大，影响学生学习。,等待处理：26天7小时48分,2021-11-02 19:42:23,https://wz.sun0769.com/political/politics/index?id=529683
308531,已受理,凤岗镇大运城邦四期广场舞长期严重扰民,等待回复：26天17小时0分,2021-11-01 21:18:57,https://wz.sun0769.com/political/politics/index?id=529556
308602,已受理,卖房，渤海银行迟迟不放款，拿不到钱，现在连小孩奶粉都买不起,等待回复：26天17小时28分,2021-11-02 13:02:56,https://wz.sun0769.com/political/politics/index?id=529627
308597,待处理,望牛墩镇下漕管理区官派村一直都不让建房！,等待处理：25天7小时48分,2021-11-02 12:33:09,https://wz.sun0769.com/political/politics/index?id=529624
308622,已受理,要求家长购买教科书,等待回复：26天0小时49分,2021-11-02 16:01:01,https://wz.sun0769.com/political/politics/index?id=529658
308623,待处理,东莞转诊制度真的方便吗,等待处理：25天7小时48分,2021-11-02 15:59:22,https://wz.sun0769.com/political/politics/index?id=529657
308746,已受理,麻涌恒大滨江左岸房屋质量严重质疑,等待回复：27天1小时56分,2021-11-03 17:04:50,https://wz.sun0769.com/political/politics/index?id=529798
308749,待处理,关于东莞市级光伏发电补贴,等待处理：26天7小时48分,2021-11-03 16:48:38,https://wz.sun0769.com/political/politics/index?id=529794
308574,已受理,还我安全的家园！,等待回复：25天22小时13分,2021-11-02 09:47:32,https://wz.sun0769.com/political/politics/index?id=529596
308575,待处理,厚街高速路口红绿灯优化,等待处理：25天7小时48分,2021-11-02 09:45:38,https://wz.sun0769.com/political/politics/index?id=529595
308678,待处理,车辆违停严重。,等待处理：26天7小时49分,2021-11-03 09:27:22,https://wz.sun0769.com/political/politics/index?id=529730
308679,待处理,稻花村物业一刀切不解决停车难问题，要求将元美东路停车改为非重点路段,等待处理：26天7小时49分,2021-11-03 09:25:12,https://wz.sun0769.com/political/politics/index?id=529729
308783,待处理,大岭山金地林森艺境,等待处理：27天7小时48分,2021-11-04 03:27:41,https://wz.sun0769.com/political/politics/index?id=529840
308658,已受理,公交站点（校车上下车点）垃圾桶乱摆放,等待回复：26天19小时2分,2021-11-03 06:55:06,https://wz.sun0769.com/political/politics/index?id=529709
308853,待处理,东城第六小学 门口多家文具书店违规乱摆货物占道  影响市容,等待处理：27天7小时48分,2021-11-04 14:07:50,https://wz.sun0769.com/political/politics/index?id=529906
308857,待处理,东城第六小学 门口多家文具书店违规卖零食、玩具,等待处理：27天7小时48分,2021-11-04 14:02:23,https://wz.sun0769.com/political/politics/index?id=529905
308833,待处理,收楼服务态度差,等待处理：27天7小时49分,2021-11-04 11:39:23,https://wz.sun0769.com/political/politics/index?id=529881
308812,待处理,请问无证宅基地不能报建有没解决方法？,等待处理：27天7小时48分,2021-11-04 10:31:11,https://wz.sun0769.com/political/politics/index?id=529867
308756,已受理,麻涌东江大桥堵塞和桥抖严重,等待回复：27天17小时42分,2021-11-03 21:18:12,https://wz.sun0769.com/political/politics/index?id=529823
308486,已受理,物业敛财乱收费,等待回复：24天23小时45分,2021-11-01 14:52:22,https://wz.sun0769.com/political/politics/index?id=529505
308488,已受理,工业园区1楼噪声扰民，严重影响他人正常休息,等待回复：25天16小时43分,2021-11-01 14:51:15,https://wz.sun0769.com/political/politics/index?id=529504
308715,已受理,农民安居房报建 4米消防通道,等待回复：27天0小时53分,2021-11-03 15:24:06,https://wz.sun0769.com/political/politics/index?id=529776
308712,待处理,路灯,等待处理：26天7小时48分,2021-11-03 15:16:44,https://wz.sun0769.com/political/politics/index?id=529774
308509,已回复,关于东莞万江街道转诊情况,处理用时：2天22小时1分,2021-11-01 17:25:31,https://wz.sun0769.com/political/politics/index?id=529530
308538,已受理,接306202的投诉，孩子的安全问题谁来保障？,等待回复：27天22小时28分,2021-11-02 00:37:43,https://wz.sun0769.com/political/politics/index?id=529574
308541,已受理,斑马线设计不合理,等待回复：25天23小时41分,2021-11-02 00:11:26,https://wz.sun0769.com/political/politics/index?id=529572
308732,已受理,开医保转诊单南,等待回复：27天22小时30分,2021-11-03 12:37:06,https://wz.sun0769.com/political/politics/index?id=529758
308734,待处理,居民区大排档通宵营业严重扰民,等待处理：26天7小时47分,2021-11-03 12:35:08,https://wz.sun0769.com/political/politics/index?id=529757
308651,待处理,泥头车罚款扣分,等待处理：26天7小时48分,2021-11-02 19:35:48,https://wz.sun0769.com/political/politics/index?id=529682
308652,已受理,办理的银行pos机无法退回,等待回复：26天17小时28分,2021-11-02 19:19:05,https://wz.sun0769.com/political/politics/index?id=529681
308526,待处理,富华中路路面停车位被加塞霸占！,等待处理：25天7小时47分,2021-11-01 21:09:52,https://wz.sun0769.com/political/politics/index?id=529554
308552,待处理,东莞理工学校  食堂定价不合理！,等待处理：25天7小时47分,2021-11-01 20:58:43,https://wz.sun0769.com/political/politics/index?id=529551
308599,已受理,常平桔园街路面下陷,等待回复：26天0小时12分,2021-11-02 12:25:39,https://wz.sun0769.com/political/politics/index?id=529622
308595,已受理,洪梅镇政府不顾村民建房成本高，要求效果图,等待回复：26天0小时25分,2021-11-02 11:47:42,https://wz.sun0769.com/political/politics/index?id=529618
308624,待处理,海逸豪庭大肆违建为何不处置、不拆除,等待处理：25天7小时48分,2021-11-02 15:53:36,https://wz.sun0769.com/political/politics/index?id=529655
308613,待处理,南城车站路片区城市更新,等待处理：25天7小时48分,2021-11-02 15:25:00,https://wz.sun0769.com/political/politics/index?id=529649
308737,待处理,消费诈骗,等待处理：26天7小时48分,2021-11-03 16:30:31,https://wz.sun0769.com/political/politics/index?id=529792
308570,已受理,垃圾满地，请投放垃圾桶,等待回复：25天22小时22分,2021-11-02 09:44:02,https://wz.sun0769.com/political/politics/index?id=529594
308563,已受理,石龙镇区能否办理大货通行证,等待回复：27天0小时49分,2021-11-02 09:41:55,https://wz.sun0769.com/political/politics/index?id=529592
308681,已受理,东城新世界花园政府推导垃圾分类半途而废,等待回复：27天22小时31分,2021-11-03 09:21:53,https://wz.sun0769.com/political/politics/index?id=529728
308782,待处理,新车办证,等待处理：27天7小时48分,2021-11-04 03:01:17,https://wz.sun0769.com/political/politics/index?id=529838
308776,待处理,大朗碧桂园万象松湖22栋23栋对面的半夜商铺噪音,等待处理：27天7小时48分,2021-11-04 02:01:49,https://wz.sun0769.com/political/politics/index?id=529837
308664,已受理,美诺健康体检不能退费,等待回复：26天20小时3分,2021-11-03 01:55:15,https://wz.sun0769.com/political/politics/index?id=529707
308657,待处理,关于建设银行客户服务不规范，涉及诱导消费者消费以及虚假宣传,等待处理：26天7小时48分,2021-11-03 00:59:10,https://wz.sun0769.com/political/politics/index?id=529706
308846,已受理,东莞庆鹏心怡房地产开发有限公司涉嫌偷税漏税,等待回复：27天22小时46分,2021-11-04 13:42:21,https://wz.sun0769.com/political/politics/index?id=529902
308834,待处理,南城国金大厦路边停放无人管,等待处理：27天7小时49分,2021-11-04 11:37:57,https://wz.sun0769.com/political/politics/index?id=529880
308794,已受理,大朗服装厂排废气,等待回复：27天18小时45分,2021-11-04 10:09:49,https://wz.sun0769.com/political/politics/index?id=529866
308755,已受理,常平东元路164号GEM酒吧排气抽风设备扰民,等待回复：27天17小时21分,2021-11-03 21:15:10,https://wz.sun0769.com/political/politics/index?id=529822
308762,已受理,望牛墩恒大翡翠3期，何时能正常复工？预售资金监管账户是否还有钱？,等待回复：27天18小时18分,2021-11-03 21:10:11,https://wz.sun0769.com/political/politics/index?id=529820
308490,待处理,怎么更改医保社区定点,等待处理：24天7小时47分,2021-11-01 14:28:44,https://wz.sun0769.com/political/politics/index?id=529502
308491,已受理,海逸豪庭尚都二期路边井盖松动异响扰民,等待回复：25天22小时57分,2021-11-01 14:21:49,https://wz.sun0769.com/political/politics/index?id=529501
308713,已受理,东莞市大岭山翰华学校乱收班费购买班服资料打扫卫生用品,等待回复：27天0小时16分,2021-11-03 15:16:31,https://wz.sun0769.com/political/politics/index?id=529773
308482,已受理,望沙路改造设计不合理,等待回复：27天0小时6分,2021-11-01 11:57:09,https://wz.sun0769.com/political/politics/index?id=529484
308510,待处理,道路何时修复,等待处理：24天7小时47分,2021-11-01 17:24:53,https://wz.sun0769.com/political/politics/index?id=529529
308519,已受理,小巷被堵，行走不便,等待回复：25天16小时48分,2021-11-01 23:41:55,https://wz.sun0769.com/political/politics/index?id=529570
308735,已受理,东莞一中南门距离不足100米万科生活噪音,等待回复：27天22小时30分,2021-11-03 12:22:37,https://wz.sun0769.com/political/politics/index?id=529756
308638,已受理,众盛物业撤出不交接，财务不公示，侵占业主利益,等待回复：27天22小时30分,2021-11-02 18:33:37,https://wz.sun0769.com/political/politics/index?id=529678
308640,已受理,东莞华侨城纯水岸小区花园差,等待回复：26天17小时6分,2021-11-02 18:23:41,https://wz.sun0769.com/political/politics/index?id=529677
308553,已受理,关于周五放学,等待回复：25天18小时57分,2021-11-01 20:57:56,https://wz.sun0769.com/political/politics/index?id=529550
308517,已受理,路边停车重复收费，停一次收了3次费。,等待回复：25天23小时54分,2021-11-01 20:09:22,https://wz.sun0769.com/political/politics/index?id=529547
308586,已受理,噪音扰民,等待回复：27天22小时20分,2021-11-02 11:44:19,https://wz.sun0769.com/political/politics/index?id=529616
308600,已受理,茶山纳帕溪谷湘阁里辣烟雾恶臭严重影响生活,等待回复：25天23小时27分,2021-11-02 15:07:35,https://wz.sun0769.com/political/politics/index?id=529645
308617,已受理,桥头镇桥龙路温馨家园鸿华尚城4栋.5栋管理处滥收居民电费,等待回复：26天0小时13分,2021-11-02 15:02:05,https://wz.sun0769.com/political/politics/index?id=529643
308736,已受理,万江加州花园 水管严重腐蚀 居民饮水担忧,等待回复：27天0小时22分,2021-11-03 16:23:26,https://wz.sun0769.com/political/politics/index?id=529791
308738,已受理,请住建局公布厚街万科臻山悦花园楼盘预售备案价过程资料，以供广大市民群众监督。,等待回复：27天1小时47分,2021-11-03 16:09:53,https://wz.sun0769.com/political/politics/index?id=529790
308564,已受理,请问满五唯一的五年从什么时候起算？,等待回复：25天23小时52分,2021-11-02 09:38:55,https://wz.sun0769.com/political/politics/index?id=529591
308562,待处理,行人是否需要遵守交通法规？,等待处理：25天7小时48分,2021-11-02 09:03:04,https://wz.sun0769.com/political/politics/index?id=529587
308682,已受理,寮步汽车城没有路灯,等待回复：26天19小时13分,2021-11-03 09:18:26,https://wz.sun0769.com/political/politics/index?id=529727
308683,已受理,私人长期霸占村内公共停车位,等待回复：27天22小时31分,2021-11-03 09:16:16,https://wz.sun0769.com/political/politics/index?id=529726
308777,已受理,快递是如何定价的？,等待回复：27天23小时30分,2021-11-04 01:26:12,https://wz.sun0769.com/political/politics/index?id=529836
308778,待处理,南城夜宵铺长期深夜扰民，居民无法入眠！,等待处理：27天7小时48分,2021-11-04 00:54:33,https://wz.sun0769.com/political/politics/index?id=529835
308670,已受理,东莞国药集团欺诈客户,等待回复：26天20小时8分,2021-11-03 00:32:27,https://wz.sun0769.com/political/politics/index?id=529704
308636,已受理,谢岗镇荣兴街20号荣记美食大排档噪音扰民,等待回复：26天16小时57分,2021-11-03 00:24:08,https://wz.sun0769.com/political/politics/index?id=529703
308836,已受理,厚街君汇时代广场和工业大厦违规圈地收费停车,等待回复：27天23小时4分,2021-11-04 13:38:17,https://wz.sun0769.com/political/politics/index?id=529901
308821,已受理,宿舍楼门口停满电动自行车,等待回复：27天19小时20分,2021-11-04 11:20:38,https://wz.sun0769.com/political/politics/index?id=529879
308792,已受理,高雄路靠近阿里山路交叉口附近路面问题,等待回复：27天23小时50分,2021-11-04 09:56:04,https://wz.sun0769.com/political/politics/index?id=529863
308464,已受理,关于儿童接种新冠疫苗与流感疫苗的间隔周期,等待回复：24天23小时42分,2021-11-01 09:34:34,https://wz.sun0769.com/political/politics/index?id=529465
308759,待处理,泥土车罚款,等待处理：27天7小时48分,2021-11-03 20:15:46,https://wz.sun0769.com/political/politics/index?id=529818
308492,已受理,轮渡路什么时候动工？齐沙路口红绿灯设置不合理,等待回复：25天0小时26分,2021-11-01 14:13:49,https://wz.sun0769.com/political/politics/index?id=529500
308716,已受理,马路大树安全,等待回复：27天23小时29分,2021-11-03 15:14:54,https://wz.sun0769.com/political/politics/index?id=529772
308469,已回复,严重污染环境，损坏人行横道,处理用时：--,2021-11-01 11:40:10,https://wz.sun0769.com/political/politics/index?id=529482
308512,已受理,大岭山金桔村二巷36号101 重庆秘制鸡公煲乱排油烟兼噪音,等待回复：27天23小时18分,2021-11-01 17:09:23,https://wz.sun0769.com/political/politics/index?id=529527
308543,已受理,寮步镇湖滨花园建筑垃圾随地堆放,等待回复：25天19小时59分,2021-11-01 23:39:40,https://wz.sun0769.com/political/politics/index?id=529569
308706,待处理,地址门牌上没有二维码如何申请？,等待处理：26天7小时47分,2021-11-03 11:50:02,https://wz.sun0769.com/political/politics/index?id=529752
308653,待处理,关于公常公路X232与莞深高速交汇节点改造工程进展问题,等待处理：26天7小时48分,2021-11-02 18:14:55,https://wz.sun0769.com/political/politics/index?id=529676
308555,已受理,城区步步高小区停车位租用问题,等待回复：27天23小时52分,2021-11-01 19:25:01,https://wz.sun0769.com/political/politics/index?id=529542
308584,已受理,房屋外的水管阀门坏了，是水表前的阀门，由谁来负责,等待回复：27天22小时29分,2021-11-02 11:37:14,https://wz.sun0769.com/political/politics/index?id=529615
308618,已受理,关于人才引进补贴,等待回复：25天23小时59分,2021-11-02 14:56:24,https://wz.sun0769.com/political/politics/index?id=529642
308739,待处理,关于一孩生育问题咨询电话没人接听的投诉,等待处理：26天7小时48分,2021-11-03 16:04:21,https://wz.sun0769.com/political/politics/index?id=529789
308567,已受理,东莞市莞城街道社区卫生服务中心妇科常停诊,等待回复：27天23小时59分,2021-11-02 09:00:19,https://wz.sun0769.com/political/politics/index?id=529586
308568,待处理,老生常谈，再提重视,等待处理：25天7小时48分,2021-11-02 08:54:42,https://wz.sun0769.com/political/politics/index?id=529585
